id,date,date_label,phase,lane,title,verbatim,detail,actors,starred,highlighted
t47,2026-04,Across the final phase,The policy window,Influence & reflections,"Translating, drafting, redrafting: the core influence practice","Translating, drafting, redrafting existing outputs","The cloud on the wall chart naming the underlying practice: translating, drafting and redrafting existing outputs for each new audience.",Sprint team; NRW; Policy collaborators,,
t27,2026-04-22,22 April 2026,The policy window,Outputs & sharing,Valleys workshop filming,22nd APRIL - Valleys workshop filming,Filming at the Valleys workshop. Highlighted on the wall chart.,Sprint team; Workshop participants,,yes
t28,2026-04-23,23 April 2026,The policy window,Policy liaison,WG NRP Forum: Sprint team presented,23rd APRIL - WG NRP FORUM - Sprint team presented,The Sprint team presented at the Welsh Government Natural Resources Policy Forum.,Sprint team; Welsh Government; NRP Forum,,
t35,2026-05,Election period,The policy window,Influence & reflections,Area Statements included in GP manifesto,Area Statements included in GP manifesto,Area Statements appeared in a party manifesto ('GP' as written on the board).,Area Statements,,
t36,2026-05,After the election,The policy window,Influence & reflections,Place-based working became more salient,Place-based working more salient post-election.,The election outcome raised the salience of place-based working.,NRW; Welsh Government; Sprint team,,
t37,2026-05,May to June 2026,The policy window,Outputs & sharing,Live evidence base translated for short-term requests,'live' evidence base adapted & translated to short term evidence requests,The live evidence base was adapted and translated to answer short-term evidence requests.,Sprint team; NRW; Policy collaborators,,
t38,2026-05,Late May 2026,The policy window,Policy liaison,Short-term request: Exec Group policy briefing,SHORT TERM REQUEST FOR EXEC GROUP POLICY BRIEFING,A short-term request came in for a policy briefing for the Exec Group.,NRW Exec Group; Sprint team,,
t33,2026-05-06,6 May 2026,The policy window,Outputs & sharing,'Impact Party','IMPACT PARTY' - 6th MAY,The Impact Party marked the push of outputs into the policy window. Highlighted on the wall chart.,Sprint team; Partners,,yes
t34,2026-05-07,7 May 2026,The policy window,Context & co-creation,Senedd elections,SENEDD ELECTIONS 7th MAY ... power & legitimacy,The Senedd elections reshaped the policy landscape. Annotated on the board with 'power & legitimacy'.,Senedd; Welsh political parties,,
t40,2026-06,May to June 2026,Landing & legacy,Outputs & sharing,Scottish slides formed an options evidence base,Scottish slides formed evidence base for catchment / hybrid / etc. options menu,"The slides built for Scottish Government became the evidence base for a catchment, hybrid and other options menu.",Sprint team; NRW,,
t42,2026-06,June 2026,Landing & legacy,Outputs & sharing,Presented at RSA,Presented at RSA - JUNE,The work was presented at the RSA.,Sprint team; RSA audience,,
t39,2026-06-05,5 June 2026,Landing & legacy,Policy liaison,Area Statements 2.0 workshop,AS 2.0 WORKSHOP - 5th JUNE,The Area Statements 2.0 workshop. Starred on the wall chart as a key moment.,NRW; Sprint team; Workshop participants,yes,
t41,2026-06-08,8 June 2026,Landing & legacy,Outputs & sharing,Final report and brief shared for feedback,8th JUNE - FINAL REPORT & BRIEF SHARED WITH NRW & WG FOR FEEDBACK,The final report and brief went to NRW and Welsh Government for feedback.,NRW; Welsh Government; Sprint team,,
t43,2026-07,July 2026,Landing & legacy,Outputs & sharing,Presented at POLLEN,Presented at POLLEN - JULY,The work was presented at the POLLEN conference.,Sprint team; POLLEN audience,,
t44,2026-07,July 2026,Landing & legacy,Outputs & sharing,Filming: Lake Vyrnwy and Radnorshire,JULY - FILMING LAKE VYRNWY & RADNORSHIRE,Filming took place at Lake Vyrnwy and in Radnorshire. Highlighted on the wall chart.,Sprint team,,yes
t46,2026-07,Reflection: pivot points,Landing & legacy,Influence & reflections,Pivot point: evidence earned a role in NRP decisions,PIVOT POINTS: SoNaRR + survey + policy brief led to role in NRP meetings / board decisions -> e.g. voting for hybrid options for future of place-based policy rather than catchments,"The combination of SoNaRR input, the survey and the policy brief earned the work a role in NRP meetings and board decisions, including votes on hybrid options for the future of place-based policy.",NRP decision-makers; NRW; Sprint team,,
t45,2026-07-09,9 July 2026,Landing & legacy,Outputs & sharing,Report complete,9th JULY - REPORT COMPLETE,"The report was completed, closing the Sprint timeline.",Sprint team; NRW,,
